"step","_step","_step__MIN","_step__MAX","q_time_value","q_time_value__MIN","q_time_value__MAX"
"0","0","0","0","0.34587323665618896","0.34587323665618896","0.34587323665618896"
"1","2","2","2","0.3099026083946228","0.3099026083946228","0.3099026083946228"
"2","4","4","4","0.31031617522239685","0.31031617522239685","0.31031617522239685"
"3","6","6","6","0.33124905824661255","0.33124905824661255","0.33124905824661255"
"4","8","8","8","0.30970314145088196","0.30970314145088196","0.30970314145088196"
"5","10","10","10","0.31056809425354004","0.31056809425354004","0.31056809425354004"
"6","12","12","12","0.311725914478302","0.311725914478302","0.311725914478302"
"7","14","14","14","0.3111421465873718","0.3111421465873718","0.3111421465873718"
"8","16","16","16","0.3101657032966614","0.3101657032966614","0.3101657032966614"
"9","18","18","18","0.4738627076148987","0.4738627076148987","0.4738627076148987"
"10","20","20","20","0.30552807450294495","0.30552807450294495","0.30552807450294495"
"11","22","22","22","0.30632728338241577","0.30632728338241577","0.30632728338241577"
"12","24","24","24","0.30521202087402344","0.30521202087402344","0.30521202087402344"
"13","26","26","26","0.30379870533943176","0.30379870533943176","0.30379870533943176"
"14","28","28","28","0.30315473675727844","0.30315473675727844","0.30315473675727844"
"15","30","30","30","0.30411526560783386","0.30411526560783386","0.30411526560783386"
"16","32","32","32","0.3026570677757263","0.3026570677757263","0.3026570677757263"
"17","34","34","34","0.3007506728172302","0.3007506728172302","0.3007506728172302"
"18","36","36","36","0.2988079786300659","0.2988079786300659","0.2988079786300659"
"19","38","38","38","0.29811611771583557","0.29811611771583557","0.29811611771583557"
"20","40","40","40","0.29320618510246277","0.29320618510246277","0.29320618510246277"
"21","42","42","42","0.29431483149528503","0.29431483149528503","0.29431483149528503"
"22","44","44","44","0.2951655089855194","0.2951655089855194","0.2951655089855194"
"23","46","46","46","0.2962906062602997","0.2962906062602997","0.2962906062602997"
"24","48","48","48","0.29576876759529114","0.29576876759529114","0.29576876759529114"
"25","50","50","50","0.2942552864551544","0.2942552864551544","0.2942552864551544"
"26","52","52","52","0.29445773363113403","0.29445773363113403","0.29445773363113403"
"27","54","54","54","0.2953970730304718","0.2953970730304718","0.2953970730304718"
"28","56","56","56","0.2934240400791168","0.2934240400791168","0.2934240400791168"
"29","58","58","58","0.2976609766483307","0.2976609766483307","0.2976609766483307"
"30","60","60","60","0.29519274830818176","0.29519274830818176","0.29519274830818176"
"31","62","62","62","0.29894474148750305","0.29894474148750305","0.29894474148750305"
"32","64","64","64","0.31512078642845154","0.31512078642845154","0.31512078642845154"
"33","66","66","66","0.2918337285518646","0.2918337285518646","0.2918337285518646"
"34","68","68","68","0.29097920656204224","0.29097920656204224","0.29097920656204224"
"35","70","70","70","0.29445880651474","0.29445880651474","0.29445880651474"
"36","72","72","72","0.28993362188339233","0.28993362188339233","0.28993362188339233"
"37","74","74","74","0.3530702292919159","0.3530702292919159","0.3530702292919159"
"38","76","76","76","0.3581025302410126","0.3581025302410126","0.3581025302410126"
"39","78","78","78","0.2962338924407959","0.2962338924407959","0.2962338924407959"
"40","80","80","80","0.29450735449790955","0.29450735449790955","0.29450735449790955"
"41","82","82","82","0.2974344491958618","0.2974344491958618","0.2974344491958618"
"42","84","84","84","0.29526105523109436","0.29526105523109436","0.29526105523109436"
"43","86","86","86","0.29485875368118286","0.29485875368118286","0.29485875368118286"
"44","88","88","88","0.29492098093032837","0.29492098093032837","0.29492098093032837"
"45","90","90","90","0.29473698139190674","0.29473698139190674","0.29473698139190674"
"46","92","92","92","0.294048935174942","0.294048935174942","0.294048935174942"
"47","94","94","94","0.2946261763572693","0.2946261763572693","0.2946261763572693"
"48","96","96","96","0.29146623611450195","0.29146623611450195","0.29146623611450195"
"49","98","98","98","0.29548242688179016","0.29548242688179016","0.29548242688179016"
"50","100","100","100","0.2903568148612976","0.2903568148612976","0.2903568148612976"
"51","102","102","102","0.2923637926578522","0.2923637926578522","0.2923637926578522"
"52","104","104","104","0.2932034134864807","0.2932034134864807","0.2932034134864807"
"53","106","106","106","0.29215914011001587","0.29215914011001587","0.29215914011001587"
"54","108","108","108","0.2889009416103363","0.2889009416103363","0.2889009416103363"
"55","110","110","110","0.2935114800930023","0.2935114800930023","0.2935114800930023"
"56","112","112","112","0.2918395400047302","0.2918395400047302","0.2918395400047302"
"57","114","114","114","0.28883954882621765","0.28883954882621765","0.28883954882621765"
"58","116","116","116","0.2905430793762207","0.2905430793762207","0.2905430793762207"
"59","118","118","118","0.2927325963973999","0.2927325963973999","0.2927325963973999"
"60","120","120","120","0.29208311438560486","0.29208311438560486","0.29208311438560486"
"61","122","122","122","0.3152407109737396","0.3152407109737396","0.3152407109737396"
"62","124","124","124","0.2933536171913147","0.2933536171913147","0.2933536171913147"
"63","126","126","126","0.2932971119880676","0.2932971119880676","0.2932971119880676"
"64","128","128","128","0.29350346326828003","0.29350346326828003","0.29350346326828003"
"65","130","130","130","0.3121415078639984","0.3121415078639984","0.3121415078639984"
"66","132","132","132","0.3892049193382263","0.3892049193382263","0.3892049193382263"
"67","134","134","134","0.28957024216651917","0.28957024216651917","0.28957024216651917"
"68","136","136","136","0.28603801131248474","0.28603801131248474","0.28603801131248474"
"69","138","138","138","0.2880474627017975","0.2880474627017975","0.2880474627017975"
"70","140","140","140","0.2867681384086609","0.2867681384086609","0.2867681384086609"
"71","142","142","142","0.2864741086959839","0.2864741086959839","0.2864741086959839"
"72","144","144","144","0.2861914038658142","0.2861914038658142","0.2861914038658142"
"73","146","146","146","0.2883468568325043","0.2883468568325043","0.2883468568325043"
"74","148","148","148","0.28470951318740845","0.28470951318740845","0.28470951318740845"
"75","150","150","150","0.29030653834342957","0.29030653834342957","0.29030653834342957"
"76","152","152","152","0.28943121433258057","0.28943121433258057","0.28943121433258057"
"77","154","154","154","0.2897673547267914","0.2897673547267914","0.2897673547267914"
"78","156","156","156","0.2886609733104706","0.2886609733104706","0.2886609733104706"
"79","158","158","158","0.2890782654285431","0.2890782654285431","0.2890782654285431"
"80","160","160","160","0.2885246276855469","0.2885246276855469","0.2885246276855469"
"81","162","162","162","0.29075926542282104","0.29075926542282104","0.29075926542282104"
"82","164","164","164","0.2898017466068268","0.2898017466068268","0.2898017466068268"
"83","166","166","166","0.2858721911907196","0.2858721911907196","0.2858721911907196"
"84","168","168","168","0.28797081112861633","0.28797081112861633","0.28797081112861633"
"85","170","170","170","0.29155197739601135","0.29155197739601135","0.29155197739601135"
"86","172","172","172","0.2868914008140564","0.2868914008140564","0.2868914008140564"
