"step","_step","_step__MIN","_step__MAX","all_time_value","all_time_value__MIN","all_time_value__MAX"
"34","68","68","68","0.38380905985832214","0.38380905985832214","0.38380905985832214"
"35","70","70","70","0.3874060809612274","0.3874060809612274","0.3874060809612274"
"36","72","72","72","0.383134663105011","0.383134663105011","0.383134663105011"
"37","74","74","74","0.4465068578720093","0.4465068578720093","0.4465068578720093"
"38","76","76","76","0.4697040915489197","0.4697040915489197","0.4697040915489197"
"39","78","78","78","0.3910466730594635","0.3910466730594635","0.3910466730594635"
"40","80","80","80","0.3869965076446533","0.3869965076446533","0.3869965076446533"
"41","82","82","82","0.39008629322052","0.39008629322052","0.39008629322052"
"42","84","84","84","0.3879649341106415","0.3879649341106415","0.3879649341106415"
"43","86","86","86","0.3873855173587799","0.3873855173587799","0.3873855173587799"
"44","88","88","88","0.38726210594177246","0.38726210594177246","0.38726210594177246"
"45","90","90","90","0.3875880539417267","0.3875880539417267","0.3875880539417267"
"46","92","92","92","0.3867601156234741","0.3867601156234741","0.3867601156234741"
"47","94","94","94","0.38742947578430176","0.38742947578430176","0.38742947578430176"
"48","96","96","96","0.3846490681171417","0.3846490681171417","0.3846490681171417"
"49","98","98","98","0.3881276249885559","0.3881276249885559","0.3881276249885559"
"50","100","100","100","0.3832554221153259","0.3832554221153259","0.3832554221153259"
"51","102","102","102","0.3850880265235901","0.3850880265235901","0.3850880265235901"
"52","104","104","104","0.3859681785106659","0.3859681785106659","0.3859681785106659"
"53","106","106","106","0.3852594792842865","0.3852594792842865","0.3852594792842865"
"54","108","108","108","0.3821074962615967","0.3821074962615967","0.3821074962615967"
"55","110","110","110","0.3864074647426605","0.3864074647426605","0.3864074647426605"
"56","112","112","112","0.38493794202804565","0.38493794202804565","0.38493794202804565"
"57","114","114","114","0.381684809923172","0.381684809923172","0.381684809923172"
"58","116","116","116","0.3833048343658447","0.3833048343658447","0.3833048343658447"
"59","118","118","118","0.38597574830055237","0.38597574830055237","0.38597574830055237"
"60","120","120","120","0.38548406958580017","0.38548406958580017","0.38548406958580017"
"61","122","122","122","0.4084564447402954","0.4084564447402954","0.4084564447402954"
"62","124","124","124","0.38701432943344116","0.38701432943344116","0.38701432943344116"
"63","126","126","126","0.3864503800868988","0.3864503800868988","0.3864503800868988"
"64","128","128","128","0.38642317056655884","0.38642317056655884","0.38642317056655884"
"65","130","130","130","0.4054870903491974","0.4054870903491974","0.4054870903491974"
"66","132","132","132","0.5335334539413452","0.5335334539413452","0.5335334539413452"
"67","134","134","134","0.3847059905529022","0.3847059905529022","0.3847059905529022"
"68","136","136","136","0.37884092330932617","0.37884092330932617","0.37884092330932617"
"69","138","138","138","0.3806447684764862","0.3806447684764862","0.3806447684764862"
"70","140","140","140","0.37939420342445374","0.37939420342445374","0.37939420342445374"
"71","142","142","142","0.37929439544677734","0.37929439544677734","0.37929439544677734"
"72","144","144","144","0.37888404726982117","0.37888404726982117","0.37888404726982117"
"73","146","146","146","0.3811826705932617","0.3811826705932617","0.3811826705932617"
"74","148","148","148","0.37735703587532043","0.37735703587532043","0.37735703587532043"
"75","150","150","150","0.3829629421234131","0.3829629421234131","0.3829629421234131"
"76","152","152","152","0.38207560777664185","0.38207560777664185","0.38207560777664185"
"77","154","154","154","0.38285282254219055","0.38285282254219055","0.38285282254219055"
"78","156","156","156","0.38151001930236816","0.38151001930236816","0.38151001930236816"
"79","158","158","158","0.3821905255317688","0.3821905255317688","0.3821905255317688"
"80","160","160","160","0.3813740909099579","0.3813740909099579","0.3813740909099579"
"81","162","162","162","0.3834976553916931","0.3834976553916931","0.3834976553916931"
"82","164","164","164","0.3826152980327606","0.3826152980327606","0.3826152980327606"
"83","166","166","166","0.3789372742176056","0.3789372742176056","0.3789372742176056"
"84","168","168","168","0.3809071481227875","0.3809071481227875","0.3809071481227875"
"85","170","170","170","0.38475289940834045","0.38475289940834045","0.38475289940834045"
"86","172","172","172","0.3799227178096771","0.3799227178096771","0.3799227178096771"
"87","174","174","174","0.38305768370628357","0.38305768370628357","0.38305768370628357"
"88","176","176","176","0.38251861929893494","0.38251861929893494","0.38251861929893494"
