"step","_step","_step__MIN","_step__MAX","q_time_value","q_time_value__MIN","q_time_value__MAX"
"113","226","226","226","5.9532575607299805","5.9532575607299805","5.9532575607299805"
"114","228","228","228","5.808215141296387","5.808215141296387","5.808215141296387"
"115","230","230","230","5.942434310913086","5.942434310913086","5.942434310913086"
"116","232","232","232","5.899627208709717","5.899627208709717","5.899627208709717"
"117","234","234","234","5.930688381195068","5.930688381195068","5.930688381195068"
"118","236","236","236","5.887174606323242","5.887174606323242","5.887174606323242"
"119","238","238","238","5.822340965270996","5.822340965270996","5.822340965270996"
"120","240","240","240","6.048816680908203","6.048816680908203","6.048816680908203"
"121","242","242","242","5.906869888305664","5.906869888305664","5.906869888305664"
"122","244","244","244","5.836236953735352","5.836236953735352","5.836236953735352"
"123","246","246","246","6.001464366912842","6.001464366912842","6.001464366912842"
"124","248","248","248","5.9680094718933105","5.9680094718933105","5.9680094718933105"
"125","250","250","250","5.847650527954102","5.847650527954102","5.847650527954102"
"126","252","252","252","5.865286350250244","5.865286350250244","5.865286350250244"
"127","254","254","254","5.966360092163086","5.966360092163086","5.966360092163086"
"128","256","256","256","5.815479278564453","5.815479278564453","5.815479278564453"
"129","258","258","258","5.927614212036133","5.927614212036133","5.927614212036133"
"130","260","260","260","5.972193717956543","5.972193717956543","5.972193717956543"
"131","262","262","262","5.98069429397583","5.98069429397583","5.98069429397583"
"132","264","264","264","5.889554023742676","5.889554023742676","5.889554023742676"
"133","266","266","266","5.91953182220459","5.91953182220459","5.91953182220459"
"134","268","268","268","5.918984413146973","5.918984413146973","5.918984413146973"
"135","270","270","270","5.930554389953613","5.930554389953613","5.930554389953613"
"136","272","272","272","6.023502349853516","6.023502349853516","6.023502349853516"
"137","274","274","274","5.872720241546631","5.872720241546631","5.872720241546631"
"138","276","276","276","5.904661655426025","5.904661655426025","5.904661655426025"
"139","278","278","278","6.02603816986084","6.02603816986084","6.02603816986084"
"140","280","280","280","5.931313514709473","5.931313514709473","5.931313514709473"
"141","282","282","282","5.989229679107666","5.989229679107666","5.989229679107666"
"142","284","284","284","5.9180588722229","5.9180588722229","5.9180588722229"
"143","286","286","286","5.873142719268799","5.873142719268799","5.873142719268799"
"144","288","288","288","5.8638129234313965","5.8638129234313965","5.8638129234313965"
"145","290","290","290","5.970344066619873","5.970344066619873","5.970344066619873"
"146","292","292","292","5.938047409057617","5.938047409057617","5.938047409057617"
"147","294","294","294","5.922916889190674","5.922916889190674","5.922916889190674"
"148","296","296","296","5.951555252075195","5.951555252075195","5.951555252075195"
"149","298","298","298","5.882972240447998","5.882972240447998","5.882972240447998"
"150","300","300","300","6.051093101501465","6.051093101501465","6.051093101501465"
"151","302","302","302","5.941762924194336","5.941762924194336","5.941762924194336"
"152","304","304","304","5.939148426055908","5.939148426055908","5.939148426055908"
"153","306","306","306","5.939094543457031","5.939094543457031","5.939094543457031"
"154","308","308","308","5.8895344734191895","5.8895344734191895","5.8895344734191895"
"155","310","310","310","5.975563049316406","5.975563049316406","5.975563049316406"
"156","312","312","312","6.08543062210083","6.08543062210083","6.08543062210083"
"157","314","314","314","5.9303483963012695","5.9303483963012695","5.9303483963012695"
"158","316","316","316","6.038643836975098","6.038643836975098","6.038643836975098"
"159","318","318","318","5.986004829406738","5.986004829406738","5.986004829406738"
"160","320","320","320","5.971497058868408","5.971497058868408","5.971497058868408"
"161","322","322","322","5.974981307983398","5.974981307983398","5.974981307983398"
"162","324","324","324","5.955780982971191","5.955780982971191","5.955780982971191"
"163","326","326","326","5.948663711547852","5.948663711547852","5.948663711547852"
"164","328","328","328","6.048341751098633","6.048341751098633","6.048341751098633"
"165","330","330","330","5.837027072906494","5.837027072906494","5.837027072906494"
"166","332","332","332","5.966002941131592","5.966002941131592","5.966002941131592"
"167","334","334","334","5.941559791564941","5.941559791564941","5.941559791564941"
"168","336","336","336","5.930052757263184","5.930052757263184","5.930052757263184"
"169","338","338","338","6.119282245635986","6.119282245635986","6.119282245635986"
"170","340","340","340","5.926361560821533","5.926361560821533","5.926361560821533"
"171","342","342","342","5.940221309661865","5.940221309661865","5.940221309661865"
"172","344","344","344","5.972858428955078","5.972858428955078","5.972858428955078"
"173","346","346","346","5.960968971252441","5.960968971252441","5.960968971252441"
"174","348","348","348","5.908518314361572","5.908518314361572","5.908518314361572"
"175","350","350","350","5.922642230987549","5.922642230987549","5.922642230987549"
"176","352","352","352","6.016836166381836","6.016836166381836","6.016836166381836"
"177","354","354","354","5.99675178527832","5.99675178527832","5.99675178527832"
"178","356","356","356","6.054316520690918","6.054316520690918","6.054316520690918"
"179","358","358","358","6.105957984924316","6.105957984924316","6.105957984924316"
"180","360","360","360","5.9460248947143555","5.9460248947143555","5.9460248947143555"
"181","362","362","362","5.999302864074707","5.999302864074707","5.999302864074707"
"182","364","364","364","6.17824125289917","6.17824125289917","6.17824125289917"
"183","366","366","366","5.991447925567627","5.991447925567627","5.991447925567627"
"184","368","368","368","6.0369553565979","6.0369553565979","6.0369553565979"
"185","370","370","370","5.948846340179443","5.948846340179443","5.948846340179443"
"186","372","372","372","6.066307067871094","6.066307067871094","6.066307067871094"
"187","374","374","374","6.050913333892822","6.050913333892822","6.050913333892822"
"188","376","376","376","5.973202228546143","5.973202228546143","5.973202228546143"
"189","378","378","378","6.032281398773193","6.032281398773193","6.032281398773193"
"190","380","380","380","6.089676856994629","6.089676856994629","6.089676856994629"
"191","382","382","382","6.0503830909729","6.0503830909729","6.0503830909729"
"192","384","384","384","5.977202892303467","5.977202892303467","5.977202892303467"
"193","386","386","386","6.050338268280029","6.050338268280029","6.050338268280029"
"194","388","388","388","5.934653282165527","5.934653282165527","5.934653282165527"
"195","390","390","390","5.84653377532959","5.84653377532959","5.84653377532959"
"196","392","392","392","6.101031303405762","6.101031303405762","6.101031303405762"
"197","394","394","394","5.937200546264648","5.937200546264648","5.937200546264648"
"198","396","396","396","5.98045539855957","5.98045539855957","5.98045539855957"
"199","398","398","398","5.957370281219482","5.957370281219482","5.957370281219482"
"200","400","400","400","6.082258224487305","6.082258224487305","6.082258224487305"
"201","402","402","402","5.997395038604736","5.997395038604736","5.997395038604736"
"202","404","404","404","6.080798149108887","6.080798149108887","6.080798149108887"
"203","406","406","406","5.995617866516113","5.995617866516113","5.995617866516113"
"204","408","408","408","6.0038347244262695","6.0038347244262695","6.0038347244262695"
"205","410","410","410","6.052120685577393","6.052120685577393","6.052120685577393"
"206","412","412","412","6.09645938873291","6.09645938873291","6.09645938873291"
"207","414","414","414","5.959525108337402","5.959525108337402","5.959525108337402"
"208","416","416","416","6.093602180480957","6.093602180480957","6.093602180480957"
"209","418","418","418","5.871677398681641","5.871677398681641","5.871677398681641"
"210","420","420","420","6.000373840332031","6.000373840332031","6.000373840332031"
"211","422","422","422","6.137478828430176","6.137478828430176","6.137478828430176"
"212","424","424","424","6.044847011566162","6.044847011566162","6.044847011566162"
"213","426","426","426","6.048967361450195","6.048967361450195","6.048967361450195"
"214","428","428","428","6.081451416015625","6.081451416015625","6.081451416015625"
"215","430","430","430","6.054576396942139","6.054576396942139","6.054576396942139"
"216","432","432","432","6.153292179107666","6.153292179107666","6.153292179107666"
"217","434","434","434","6.053876876831055","6.053876876831055","6.053876876831055"
"218","436","436","436","6.11001443862915","6.11001443862915","6.11001443862915"
"219","438","438","438","5.968299865722656","5.968299865722656","5.968299865722656"
"220","440","440","440","6.082118988037109","6.082118988037109","6.082118988037109"
"221","442","442","442","5.949217796325684","5.949217796325684","5.949217796325684"
"222","444","444","444","6.024361610412598","6.024361610412598","6.024361610412598"
"223","446","446","446","6.01366662979126","6.01366662979126","6.01366662979126"
"224","448","448","448","6.137589454650879","6.137589454650879","6.137589454650879"
"225","450","450","450","6.040433406829834","6.040433406829834","6.040433406829834"
"226","452","452","452","5.910818576812744","5.910818576812744","5.910818576812744"
"227","454","454","454","5.955844402313232","5.955844402313232","5.955844402313232"
"228","456","456","456","6.079176425933838","6.079176425933838","6.079176425933838"
"229","458","458","458","6.050986289978027","6.050986289978027","6.050986289978027"
"230","460","460","460","6.034533500671387","6.034533500671387","6.034533500671387"
"231","462","462","462","5.974240303039551","5.974240303039551","5.974240303039551"
"232","464","464","464","6.186748504638672","6.186748504638672","6.186748504638672"
"233","466","466","466","5.941707611083984","5.941707611083984","5.941707611083984"
"234","468","468","468","6.0637431144714355","6.0637431144714355","6.0637431144714355"
"235","470","470","470","5.925065994262695","5.925065994262695","5.925065994262695"
"236","472","472","472","6.091545581817627","6.091545581817627","6.091545581817627"
"237","474","474","474","5.9352545738220215","5.9352545738220215","5.9352545738220215"
"238","476","476","476","5.992035388946533","5.992035388946533","5.992035388946533"
"239","478","478","478","5.936307907104492","5.936307907104492","5.936307907104492"
"240","480","480","480","5.983761310577393","5.983761310577393","5.983761310577393"
"241","482","482","482","6.1046576499938965","6.1046576499938965","6.1046576499938965"
"242","484","484","484","6.04256534576416","6.04256534576416","6.04256534576416"
"243","486","486","486","5.922080039978027","5.922080039978027","5.922080039978027"
"244","488","488","488","6.009032726287842","6.009032726287842","6.009032726287842"
"245","490","490","490","6.024766445159912","6.024766445159912","6.024766445159912"
"246","492","492","492","6.021978378295898","6.021978378295898","6.021978378295898"
"247","494","494","494","6.062188625335693","6.062188625335693","6.062188625335693"
"248","496","496","496","5.956046104431152","5.956046104431152","5.956046104431152"
"249","498","498","498","6.279243469238281","6.279243469238281","6.279243469238281"
"250","500","500","500","6.043088436126709","6.043088436126709","6.043088436126709"
"251","502","502","502","5.974704742431641","5.974704742431641","5.974704742431641"
"252","504","504","504","6.015718460083008","6.015718460083008","6.015718460083008"
"253","506","506","506","5.948763847351074","5.948763847351074","5.948763847351074"
"254","508","508","508","5.932039260864258","5.932039260864258","5.932039260864258"
"255","510","510","510","6.077515125274658","6.077515125274658","6.077515125274658"
"256","512","512","512","6.048820495605469","6.048820495605469","6.048820495605469"
"257","514","514","514","6.002936840057373","6.002936840057373","6.002936840057373"
"258","516","516","516","6.079822063446045","6.079822063446045","6.079822063446045"
"259","518","518","518","6.049699306488037","6.049699306488037","6.049699306488037"
"260","520","520","520","6.088454246520996","6.088454246520996","6.088454246520996"
"261","522","522","522","6.078644275665283","6.078644275665283","6.078644275665283"
"262","524","524","524","5.877166271209717","5.877166271209717","5.877166271209717"
"263","526","526","526","6.017745018005371","6.017745018005371","6.017745018005371"
"264","528","528","528","6.022210597991943","6.022210597991943","6.022210597991943"
"265","530","530","530","6.048830032348633","6.048830032348633","6.048830032348633"
"266","532","532","532","6.156725883483887","6.156725883483887","6.156725883483887"
"267","534","534","534","6.007613658905029","6.007613658905029","6.007613658905029"
"268","536","536","536","6.200882434844971","6.200882434844971","6.200882434844971"
"269","538","538","538","6.077845573425293","6.077845573425293","6.077845573425293"
"270","540","540","540","6.027153968811035","6.027153968811035","6.027153968811035"
"271","542","542","542","6.074296951293945","6.074296951293945","6.074296951293945"
"272","544","544","544","6.039533615112305","6.039533615112305","6.039533615112305"
"273","546","546","546","6.1039557456970215","6.1039557456970215","6.1039557456970215"
"274","548","548","548","6.006693363189697","6.006693363189697","6.006693363189697"
"275","550","550","550","5.9734320640563965","5.9734320640563965","5.9734320640563965"
"276","552","552","552","6.194727897644043","6.194727897644043","6.194727897644043"
"277","554","554","554","6.125177383422852","6.125177383422852","6.125177383422852"
"278","556","556","556","6.14933443069458","6.14933443069458","6.14933443069458"
"279","558","558","558","6.212493896484375","6.212493896484375","6.212493896484375"
"280","560","560","560","5.990542888641357","5.990542888641357","5.990542888641357"
"281","562","562","562","5.952640533447266","5.952640533447266","5.952640533447266"
"282","564","564","564","6.184297561645508","6.184297561645508","6.184297561645508"
"283","566","566","566","6.08464241027832","6.08464241027832","6.08464241027832"
"284","568","568","568","6.086884021759033","6.086884021759033","6.086884021759033"
"285","570","570","570","6.004915237426758","6.004915237426758","6.004915237426758"
"286","572","572","572","6.117825984954834","6.117825984954834","6.117825984954834"
"287","574","574","574","6.053991794586182","6.053991794586182","6.053991794586182"
"288","576","576","576","6.060828685760498","6.060828685760498","6.060828685760498"
"289","578","578","578","6.088529109954834","6.088529109954834","6.088529109954834"
